,monthly
2005.7,1.014996868801521
2005.8,0.96878781211807385
2005.9,0.9825132033625007
2005.1,0.97756173671722235
2005.11,1.0475201620580505
2005.12,1.0471948615181739
2006.1,1.0417293914089472
2006.2,1.00286084875573
2006.3,1.0417326273571257
2006.4,1.0431728721138913
2006.5,0.91746626015097787
2006.6,0.95473446663129491
2006.7,1.0203837585464279
2006.8,0.98074787345441494
2006.9,0.9717098038151758
2006.1,1.0164632529839865
2006.11,1.0289736899411548
2006.12,0.98826568027550865
2007.1,1.0142101506396413
2007.2,0.98217632259124388
2007.3,1.0105557210603662
2007.4,1.0302209021026763
2007.5,1.0242114899812857
2007.6,0.97783662107529434
2007.7,0.98975463336033009
2007.8,0.99325949484692633
2007.9,1.0651545131186149
2007.1,1.0566513130387822
2007.11,1.0066615492988744
2007.12,1.0263396806057186
2008.1,1.021195396040234
2008.2,1.0647710185964414
2008.3,0.9977861402310787
2008.4,0.99518262174986982
2008.5,1.0093809951148669
2008.6,1.0626005555415621
2008.7,0.94506152223210327
2008.8,1.0102237151901146
2008.9,0.98022738977818136
2008.1,0.94716743591171315
2008.11,1.0765115970421415
2008.12,1.0910648103513705
2009.1,0.98527746188532606
2009.2,1.0142005570691168
2009.3,1.0155605269501333
2009.4,0.97024501971361521
2009.5,0.99233023624917616
2009.6,0.97148425708396347
2009.7,1.0464219967411814
2009.8,0.99751594107225228
2009.9,1.1113784385862655
2009.1,1.031621410207012
2009.11,1.0310321443082129
2009.12,0.9691781131508842
2010.1,0.94446512062012755
2010.2,1.0062644633776543
2010.3,1.0423284415635654
2010.4,1.0286578570036842
2010.5,0.94950509649689641
2010.6,1.0150912096872944
2010.7,0.98382555908681935
2010.8,1.0271630500207907
2010.9,1.0218073568350876
2010.1,0.98695071748057051
2010.11,0.98793847133627199
2010.12,1.0311176102064341
2011.1,0.99300033531986853
2011.2,1.0191672905785181
2011.3,0.97582760932670698
2011.4,1.0338512838255032
2011.5,0.98289171785253204
2011.6,0.98974653429708959
2011.7,1.0028417032001258
2011.8,1.0724706281081295
2011.9,0.96878980908731471
2011.1,0.9856604054443604
2011.11,1.0013004616234709
2011.12,0.97328567505658081
2012.1,1.0332299038548816
2012.2,0.98910343125823685
2012.3,1.0125312232195636
2012.4,0.99873116600800826
2012.5,0.93094972651878172
2012.6,1.0135165845809884
2012.7,1.0137216470710309
2012.8,0.98822612601828574
2012.9,0.98553621093211097
2012.1,0.99843234758394561
2012.11,1.0214838256532783
2012.12,1.0092975762968237
2013.1,1.0286114700001898
2013.2,1.0046539746736134
2013.3,1.0229508788958512
2013.4,1.0737126255719471
2013.5,0.95898002152132744
2013.6,1.000394884097163
2013.7,1.0084226063582651
2013.8,0.96359495633332348
